movieId,watchDurationMs
3,5412842
7,4309295
3,7107064
7,1792718
3,5862265
7,3920639
3,2010933
7,1566288
3,4556238
7,975524
3,6764144
7,2029848
3,3035336
7,6255370
3,4964615
7,666406
3,977624
7,3754403
3,5766197
7,1410127
3,2430210
7,6903328
3,922041
7,5755226
3,4945339
7,2825995
3,4154891
7,2207930
3,392118
7,2444472
3,1848248
7,6332461
3,331596
7,5958537
3,3436608
7,6836971
3,692473
7,3978874
3,649469
7,1553927
3,3312531
7,194305
3,3171998
7,542992
3,5831103
7,3802066
3,1246699
7,4954815
3,1735931
7,1582660
3,4669140
7,5029241
3,6299884
7,7166948
3,1308251
7,5709513
3,3397254
7,1361838
3,4047378
7,3046269
3,6965748
7,7003003
3,1184170
7,2121766
3,6327275
7,441682
3,1708252
7,4276799
3,2828762
7,5327643
3,7173933
7,4198749
3,3114934
7,4222269
3,5297596
7,2245905
3,3741330
7,389049
3,7124123
7,1153273
3,1589296
7,6400075
3,481998
7,6009457
3,4975331
7,4019006
3,42576
7,364647
3,4660285
7,4927095
3,3449717
7,6530634
3,7131496
7,4803199
3,1788179
7,3509528
3,6210135
7,1060231
3,1415716
7,5399420
3,2103814
7,4169900
3,2136052
7,3608287
3,1608727
7,480390
3,1924306
7,2087615
3,1879352
7,6262346
3,1978182
7,3018205
3,1437715
7,2904105
3,1466972
7,575672
3,6531004
7,2374712
3,4346434
7,2318269
3,409105
7,1353604
3,6816513
7,5101667
3,1887926
7,653298
3,4267253
7,5511735
3,2444090
7,1798067
3,3235769
7,2691099
3,6173332
7,1734702
3,6249458
7,4619396
3,4274022
7,4073711
3,4410729
7,4504941
3,2104699
7,5154961
3,5685295
7,5597938
3,2958912
7,441512
3,5102918
7,4237390
3,3346226
7,1222506
3,4178524
7,3845422
3,3913796
7,6297447
3,5000315
7,760210
3,4553386
7,4234385
3,1730361
7,965429
3,3413137
7,3612571
3,6843524
7,91285
3,3036577
7,6487083
3,4044872
7,6903013
3,3854647
7,4047576
3,3501649
7,2467293
3,5163983
7,7041493
3,223569
7,2454143
3,2868308
7,1228574
3,2152754
7,1456414
3,2750379
7,39863
3,2175508
7,1231584
3,4819543
7,6590346
3,5977302
7,7075884
3,3934387
7,5499248
3,76009
7,49637
3,2353349
7,3455299
3,1101803
7,5692127
3,5511437
7,5604010
3,2571361
7,3671829
3,3596639
7,5399905
3,392743
7,6498649
